Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,,Hour,Mean RAIN_DAILY(mm),Standard Deviation (RAIN_DAILY(mm)),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
13,0.5228758169934641,2.6674875386573604,,,,13,0.37373737373737376,1.1108815189790784,,,,13,0.2672811059907834,1.2781353350894835,,,,13,0.014285714285714285,0.15364062671334933,,,,13,0.0861244019138756,0.28054765960323536,,,,13,0.09047619047619047,0.2868627710824578,,,,13,0.8513011152416357,5.302048437910968,,,,13,1.1971326164874552,6.186514906512879,,,,13,0.6606498194945848,2.3716900423868648,,,,13,0.0,0.0,,,,13,0.030927835051546393,0.1919483167528377,,,,13,0.01507537688442211,0.2121293559719139,,,
14,0.5253378378378378,2.708258120642816,,,,14,0.42346938775510207,1.1335604932777226,,,,14,0.391705069124424,1.5386047140221466,,,,14,0.014285714285714285,0.15364062671334933,,,,14,0.11165048543689321,0.3149359530739533,,,,14,0.09523809523809523,0.29354352395090366,,,,14,0.8777777777777778,5.307216145012047,,,,14,1.200716845878136,6.186109963084984,,,,14,0.960431654676259,3.3653785040534063,,,,14,0.0,0.0,,,,14,0.030612244897959183,0.1909917706308362,,,,14,0.015228426395939087,0.2131979695431472,,,
15,0.5456140350877193,2.758023076340657,,,,15,0.44329896907216493,1.1394434539915959,,,,15,0.4351851851851852,1.6059677372580856,,,,15,0.04784688995215311,0.23479127552890522,,,,15,0.1262135922330097,0.33208992964052564,,,,15,0.09523809523809523,0.29354352395090366,,,,15,0.8929889298892989,5.297739084343577,,,,15,1.213768115942029,6.218365646096137,,,,15,0.9675090252707581,3.4435664815325446,,,,15,0.0030120481927710845,0.0547994138513863,,,,15,0.02702702702702703,0.18180573036586098,,,,15,0.015228426395939087,0.2131979695431472,,,
16,0.5473684210526316,2.7581525257849675,,,,16,0.441025641025641,1.1369590454969825,,,,16,0.4392523364485981,1.6129010844713736,,,,16,0.09134615384615384,0.3485162442199891,,,,16,0.1262135922330097,0.33208992964052564,,,,16,0.09523809523809523,0.29354352395090366,,,,16,0.8962962962962963,5.270145228266799,,,,16,1.2271062271062272,6.251130129009849,,,,16,1.0,3.4947851338347826,,,,16,0.006097560975609756,0.1102630568294215,,,,16,0.030821917808219176,0.19162787443202442,,,,16,0.019704433497536946,0.2210719770671614,,,
17,0.5660714285714286,2.784220638944861,,,,17,0.44329896907216493,1.1394434539915959,,,,17,0.4351851851851852,1.6059677372580856,,,,17,0.11961722488038277,0.4375309661111706,,,,17,0.15048543689320387,0.4199800703565037,,,,17,0.09569377990430622,0.29417083538639993,,,,17,1.1123595505617978,5.718302704324854,,,,17,1.2389705882352942,6.261890721730908,,,,17,1.1163636363636364,3.620284450720997,,,,17,0.0060790273556231,0.11009586794088046,,,,17,0.04067796610169491,0.21401619142596062,,,,17,0.05154639175257732,0.544345516801818,,,
18,0.5928571428571429,2.786501720210252,,,,18,0.44329896907216493,1.1394434539915959,,,,18,0.4372093023255814,1.6094233050373008,,,,18,0.11483253588516747,0.4333248510081377,,,,18,0.15458937198067632,0.4343529815070342,,,,18,0.09615384615384616,0.2948021099376133,,,,18,1.1169811320754717,5.753218487238959,,,,18,1.2676579925650557,6.2941315160253435,,,,18,1.1708185053380782,3.6985140383152317,,,,18,0.00909090909090909,0.1648941558837914,,,,18,0.05172413793103448,0.23652759502955198,,,,18,0.07142857142857142,0.8112726208286105,,,
19,0.5982142857142857,2.781025701801699,,,,19,0.4461538461538462,1.1372134530816203,,,,19,0.44651162790697674,1.6126460759087413,,,,19,0.14492753623188406,0.5368191065928155,,,,19,0.15458937198067632,0.4343529815070342,,,,19,0.09569377990430622,0.29417083538639993,,,,19,1.1044776119402986,5.746859826151939,,,,19,1.2564102564102564,6.248824440961736,,,,19,1.4649446494464944,4.568226934124395,,,,19,0.00911854103343465,0.16514380191132066,,,,19,0.05067567567567568,0.2342315271846345,,,,19,0.055,0.7758704788816235,,,
20,0.7065217391304348,2.8648470764190086,,,,20,0.4489795918367347,1.1394811653178474,,,,20,0.4470046082949309,1.6059230129371294,,,,20,0.15311004784688995,0.5749993903425081,,,,20,0.16097560975609757,0.4399989183914022,,,,20,0.09523809523809523,0.29354352395090366,,,,20,1.0740740740740742,5.671409295926406,,,,20,1.2783882783882783,6.277712915834515,,,,20,1.7014388489208634,5.532188160518661,,,,20,0.011940298507462687,0.21821691799996498,,,,20,0.05172413793103448,0.23652759502955198,,,,20,1.0561224489795917,13.702074670308892,,,
21,0.8285198555956679,3.095125253725341,,,,21,0.4489795918367347,1.1394811653178474,,,,21,0.4511627906976744,1.612793631894851,,,,21,0.15311004784688995,0.5749993903425081,,,,21,0.16097560975609757,0.4399989183914022,,,,21,0.1,0.30000000000000004,,,,21,1.2304832713754648,5.981915135504838,,,,21,1.2830882352941178,6.2887627973732885,,,,21,1.9927536231884058,7.015507023328459,,,,21,0.011904761904761904,0.21789291925860865,,,,21,0.058419243986254296,0.27499998658065367,,,,21,0.08040201005025126,0.942341699485343,,,
22,0.8296703296703297,3.1371749910205047,,,,22,0.4489795918367347,1.1394811653178474,,,,22,0.45622119815668205,1.6062006884359767,,,,22,0.15311004784688995,0.5749993903425081,,,,22,0.15942028985507245,0.4381512016762601,,,,22,0.12857142857142856,0.39957460372948905,,,,22,1.2878228782287824,6.158290190025869,,,,22,1.2904411764705883,6.288427497681644,,,,22,2.0284697508896796,7.356158540763175,,,,22,0.015432098765432098,0.27734877709276895,,,,22,0.0657439446366782,0.3208491385834915,,,,22,0.08080808080808081,0.9447009860617346,,,
23,0.8648148148148148,3.16568156650685,,,,23,0.4512820512820513,1.1419443147032047,,,,23,0.47465437788018433,1.651853586807989,,,,23,0.15311004784688995,0.5749993903425081,,,,23,0.16908212560386474,0.4666776686273748,,,,23,0.1339712918660287,0.4164603855883051,,,,23,1.4206642066420665,6.3757046583834835,,,,23,1.4044117647058822,6.397815202071844,,,,23,2.087912087912088,7.454843328146911,,,,23,0.01529051987767584,0.27607752423956855,,,,23,0.09830508474576272,0.5146963974029439,,,,23,0.08955223880597014,1.0083927897478173,,,
