Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,,Hour,Mean TEMP(C),Standard Deviation (TEMP(C)),,,
9,19.081528662420382,2.5256851666984104,,,,9,21.701209677419353,3.20336871392066,,,,9,27.813653136531364,4.60779841266836,,,,9,36.20340909090909,3.826981033745089,,,,9,38.64868913857678,3.37357379559148,,,,9,39.176279069767446,3.705651888955581,,,,9,32.979026217228466,3.9596383837919844,,,,9,31.695340501792113,2.7284403770702026,,,,9,32.52996389891697,2.524165730310863,,,,9,31.802147239263803,2.0076605566768344,,,,9,26.12949152542373,2.0564025060472315,,,,9,20.146354166666665,4.036666224485164,,,
10,18.649526813880126,2.4384359347008973,,,,10,21.4264,3.3367323896291117,,,,10,27.616605166051663,4.5255222433144064,,,,10,36.23854961832061,3.8081975905616288,,,,10,38.542264150943396,3.486235273623177,,,,10,39.20469483568075,3.7718597952900423,,,,10,32.49888888888889,4.364464952429754,,,,10,31.227797833935018,2.9328070588307438,,,,10,31.99681978798586,2.7470556919346882,,,,10,31.1434131736527,2.044358755576697,,,,10,25.42135593220339,1.9837094661753323,,,,10,19.616915422885576,3.899548696660016,,,
11,17.69674267100977,2.322932510521942,,,,11,20.621686746987947,3.2562839413496834,,,,11,26.78265682656826,4.509272319644457,,,,11,35.67548638132296,4.0922987195616365,,,,11,37.90687022900764,4.057020883457262,,,,11,38.7587962962963,3.9101028255856582,,,,11,32.24666666666666,4.3724440152695685,,,,11,30.81146953405018,2.7612807385653824,,,,11,31.195714285714285,2.5561095278503516,,,,11,29.22235649546828,2.4667912557606257,,,,11,23.069759450171823,2.1939732219962966,,,,11,17.913775510204083,3.398703839162663,,,
12,15.108012820512823,2.1413136753511592,,,,12,18.839166666666664,3.1788702351971247,,,,12,25.28846153846154,4.35116491237399,,,,12,34.08623481781376,4.111272741645418,,,,12,36.68054474708172,4.268144022845137,,,,12,38.03084112149533,3.665930826573915,,,,12,31.71143911439114,4.065594340135752,,,,12,30.21618705035972,2.336739071910259,,,,12,29.75647482014389,2.2376466193862847,,,,12,24.785074626865672,3.0696809952080164,,,,12,19.03913043478261,2.6627695579551602,,,,12,14.071573604060916,2.7489737930058924,,,
13,13.058169934640523,2.0734270951337153,,,,13,15.957070707070708,2.6721771672518884,,,,13,21.76036866359447,4.062120834064241,,,,13,31.087142857142858,3.842850681531123,,,,13,34.08421052631579,4.0790853503440685,,,,13,36.37285714285714,3.7082888402130947,,,,13,31.006319702602234,3.669425193535099,,,,13,29.250179211469536,1.9143089669459954,,,,13,27.78880866425993,2.0659307103222817,,,,13,22.10428134556575,2.472796338407639,,,,13,17.405841924398626,2.7450424346700455,,,,13,11.991959798994973,2.786135032710086,,,
14,12.23885135135135,2.1154221429228834,,,,14,14.814795918367347,2.674126876232207,,,,14,19.889861751152075,3.9498221950604715,,,,14,28.421904761904763,3.3931297801904687,,,,14,31.245631067961167,2.8060017749417994,,,,14,34.40190476190476,3.1458659479320277,,,,14,30.154074074074074,3.2009434480284082,,,,14,28.50430107526882,1.6352685909509836,,,,14,26.846402877697837,2.0328519524823108,,,,14,21.31131498470948,2.4587658415302105,,,,14,16.713945578231293,2.8140638195875622,,,,14,11.287309644670051,3.0673474991871927,,,
15,11.540350877192983,2.187112142988558,,,,15,14.012371134020617,2.6376245847141333,,,,15,18.743055555555557,3.7251457735168723,,,,15,27.11244019138756,3.7941201396348454,,,,15,30.012621359223303,2.748015333673903,,,,15,33.21380952380952,2.8328934832655364,,,,15,29.666051660516604,2.8674710017139975,,,,15,28.08949275362319,1.5063868002530012,,,,15,26.30036101083033,2.018264940852968,,,,15,20.638554216867465,2.4062584726961433,,,,15,16.16925675675676,2.916327659087204,,,,15,10.631979695431472,3.162846279606426,,,
16,11.065263157894739,2.1955026641504634,,,,16,13.586153846153847,2.7483072789279377,,,,16,17.829906542056076,3.4407729775232774,,,,16,26.618750000000002,3.887230620768269,,,,16,29.198543689320392,2.816395792107349,,,,16,32.325714285714284,2.5569523738577673,,,,16,29.269259259259258,2.6108426707297308,,,,16,27.82783882783883,1.3797972257835371,,,,16,25.817437722419932,2.040309580829165,,,,16,20.027134146341464,2.444960288281397,,,,16,15.654794520547947,2.975046498814256,,,,16,10.023152709359605,3.2673645111314156,,,
17,10.605357142857143,2.2396125017875894,,,,17,13.14742268041237,2.791189850243827,,,,17,17.441666666666666,3.1933705924525486,,,,17,26.3511961722488,3.6620138529399506,,,,17,28.448058252427185,2.7145546428885923,,,,17,31.58803827751196,2.536546361395925,,,,17,28.974531835205994,2.4871255135492394,,,,17,27.571691176470587,1.3373481525386783,,,,17,25.455636363636362,2.0248984384285578,,,,17,19.767173252279633,2.495263276291294,,,,17,15.235254237288135,2.9053156168768455,,,,17,9.514948453608248,3.241791099596864,,,
18,10.317142857142859,2.2689973511645705,,,,18,12.745360824742267,2.797090558322163,,,,18,17.063255813953486,3.138404068527493,,,,18,25.79904306220096,3.597965805277295,,,,18,28.267149758454103,2.9371488840275677,,,,18,31.052403846153844,2.5761655297958406,,,,18,28.71283018867925,2.327486600783019,,,,18,27.312267657992564,1.2833354496446319,,,,18,25.21067615658363,2.023498935356475,,,,18,19.350909090909088,2.4300172884238016,,,,18,14.930344827586207,2.8943541745941332,,,,18,9.214795918367347,3.1427654952844777,,,
19,10.129642857142859,2.365393326010432,,,,19,12.235897435897435,4.2315837599751855,,,,19,16.707906976744184,3.2546471663443315,,,,19,24.97826086956522,3.5256357044301767,,,,19,27.608212560386473,2.921712851017976,,,,19,30.587081339712913,2.5260699278652585,,,,19,28.371641791044773,2.2550147082387095,,,,19,27.15091575091575,1.2822574402534157,,,,19,25.02472324723247,1.941263287704734,,,,19,18.820668693009118,2.537595403981617,,,,19,14.490540540540543,2.7997547633396307,,,,19,8.954500000000001,3.2503199457899528,,,
20,9.847101449275362,2.277876968245139,,,,20,12.247448979591837,2.9019950249695365,,,,20,16.09815668202765,3.1482855129900904,,,,20,24.321531100478474,3.518939263599017,,,,20,27.335121951219516,2.9357901848596306,,,,20,30.074761904761907,2.7271965704339776,,,,20,28.12740740740741,2.182605633763856,,,,20,26.895238095238096,1.2333637401317705,,,,20,24.82410071942446,1.9493113755314877,,,,20,18.481194029850744,2.442699462448247,,,,20,14.150344827586208,2.676233177252119,,,,20,8.642857142857142,3.1502672384211134,,,
21,9.603249097472926,2.2823661449335635,,,,21,11.97704081632653,2.8968021457813466,,,,21,15.619069767441863,2.96686492897139,,,,21,23.765071770334927,3.586481145136329,,,,21,26.92585365853658,2.7362543167441964,,,,21,29.614285714285714,2.7241400065911088,,,,21,27.929368029739777,2.121949367289949,,,,21,26.730514705882353,1.1990448526253163,,,,21,24.559782608695652,1.9029568781969948,,,,21,18.238095238095237,2.4702951800633035,,,,21,13.875601374570447,2.6859675890091697,,,,21,8.494472361809045,3.1587033148343764,,,
22,9.383882783882784,2.3984343826946537,,,,22,11.701530612244898,2.9342188933971873,,,,22,15.403686635944702,2.8275121782925763,,,,22,23.1488038277512,3.4488346280533646,,,,22,26.53864734299517,2.8071430808918914,,,,22,29.21952380952381,2.7352983230535886,,,,22,27.728413284132845,2.1344401494784178,,,,22,26.611397058823528,1.1471747089840005,,,,22,24.4423487544484,1.8631527730152817,,,,22,17.96111111111111,2.4789546283429065,,,,22,13.658131487889273,2.6795285639961905,,,,22,8.23030303030303,3.0841712062375453,,,
23,9.075185185185186,2.3009046053114597,,,,23,11.371282051282051,2.8308911159192727,,,,23,15.117511520737327,2.7443393404908747,,,,23,22.652631578947368,3.293273594697089,,,,23,26.458454106280193,2.8548312346491778,,,,23,28.91578947368421,2.6768526605334455,,,,23,27.585977859778595,2.128827541304561,,,,23,26.439338235294116,1.0984766873519478,,,,23,24.313553113553116,1.8434319139957203,,,,23,17.652293577981652,2.505819391960832,,,,23,13.261016949152543,2.6060046014471223,,,,23,8.040796019900498,3.2306719358977163,,,
