Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,,Hour,Mean TEMP_MAX(C),Standard Deviation (TEMP_MAX(C)),,,
January,,,,,,February,,,,,,March,,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
9,19.490127388535033,2.5332686991796782,,,,9,22.089919354838706,3.2361521346589455,,,,9,28.278966789667898,4.560600607295719,,,,9,36.69621212121212,3.849043669163264,,,,9,39.10973782771535,3.4019462823573092,,,,9,39.70976744186046,3.691214893199416,,,,9,33.58876404494382,3.9147116606811254,,,,9,32.3089605734767,2.637479788820832,,,,9,33.03068592057762,2.6022131442148457,,,,9,32.35337423312883,2.0748207760159914,,,,9,26.714576271186438,2.0881646487082643,,,,9,20.690104166666668,4.163439081954881,,,
10,19.23533123028391,2.457310146332922,,,,10,21.964,3.3293578960514294,,,,10,28.171217712177125,4.584546277314427,,,,10,36.77404580152672,3.767368688832682,,,,10,39.1833962264151,3.311140112258107,,,,10,39.74694835680752,3.7172674832373738,,,,10,33.238518518518525,4.0799960999470315,,,,10,31.949097472924187,2.9291589423642757,,,,10,32.91837455830389,2.6709697371437735,,,,10,32.14431137724551,2.2115538956993865,,,,10,26.410169491525423,2.0132859484573156,,,,10,20.59850746268657,4.161449202366245,,,
11,18.691530944625406,2.391664392898943,,,,11,21.305220883534137,3.317910028804668,,,,11,27.518450184501845,4.536944592207213,,,,11,36.38599221789884,3.9802770429281478,,,,11,38.58625954198474,3.9976856541162045,,,,11,39.38333333333333,3.8070110760717957,,,,11,32.81925925925926,4.376477465594758,,,,11,31.411111111111115,2.8719852858742114,,,,11,32.2625,2.9506877225003474,,,,11,31.520845921450157,2.5310197383341047,,,,11,25.64364261168385,1.9949900643385854,,,,11,20.254591836734694,4.230107025318349,,,
12,16.85673076923077,2.339848412650157,,,,12,20.040833333333335,3.2542151084742725,,,,12,26.366923076923076,4.459818700377482,,,,12,35.22995951417004,4.036352173034169,,,,12,37.681712062256814,4.041383227534854,,,,12,38.731775700934584,3.718533982327889,,,,12,32.27638376383764,4.207815981732109,,,,12,30.888489208633093,2.561139560235999,,,,12,30.939208633093525,2.5646760814019767,,,,12,27.92776119402986,3.3603534910426838,,,,12,21.772909698996656,3.1913923574416074,,,,12,17.006091370558373,3.881645400733062,,,
13,14.4578431372549,2.3220780194332957,,,,13,17.352525252525254,2.912229297580385,,,,13,23.506912442396313,4.135938718658626,,,,13,32.94904761904762,4.145786621621782,,,,13,35.7799043062201,4.274389963517682,,,,13,37.556666666666665,3.663251006484259,,,,13,31.638289962825276,3.8564365224882207,,,,13,29.955913978494625,2.2135358615846834,,,,13,29.462454873646212,2.608255105547968,,,,13,25.04801223241591,3.583984170160418,,,,13,19.38144329896907,2.4026473041399217,,,,13,14.781909547738692,3.060868988815556,,,
14,13.094256756756755,2.1731782029192948,,,,14,15.604591836734693,2.7491611590266416,,,,14,21.045622119815665,4.160876780284279,,,,14,30.05380952380952,3.6449455887120186,,,,14,32.87427184466019,3.46087258258616,,,,14,35.63952380952381,3.427814764388081,,,,14,30.751851851851853,3.4552451132831288,,,,14,29.080645161290324,1.8847772406439303,,,,14,28.49568345323741,2.9061426015702425,,,,14,24.10978593272171,3.9159396234624624,,,,14,18.579931972789115,2.3452888067803146,,,,14,14.01979695431472,3.6115809156159693,,,
15,12.367017543859651,2.30336897800049,,,,15,14.578350515463917,2.6300102623814405,,,,15,19.56342592592592,3.8166794424912416,,,,15,27.978947368421053,3.7007999706910986,,,,15,31.027669902912624,2.776349738707002,,,,15,34.02761904761905,2.9415899567959674,,,,15,30.102952029520296,3.0420652568968882,,,,15,28.455434782608695,1.626882240808116,,,,15,27.898194945848378,3.096177390155512,,,,15,23.542771084337353,4.088763861053001,,,,15,18.267905405405404,2.46921936273838,,,,15,13.65939086294416,3.9410343709762294,,,
16,11.86982456140351,2.3773053381876896,,,,16,13.999487179487177,2.7060330969207502,,,,16,18.4803738317757,3.604007096270682,,,,16,27.25,3.9323608098013505,,,,16,29.93058252427185,2.8155577919984074,,,,16,32.955238095238094,2.679818080264154,,,,16,29.632222222222225,2.724912276309138,,,,16,28.100366300366304,1.46536317788916,,,,16,27.6153024911032,3.266493434387663,,,,16,23.04542682926829,4.262060770676402,,,,16,17.952739726027396,2.62714218411283,,,,16,13.350738916256157,4.1852823230880745,,,
17,11.423571428571428,2.479807328756632,,,,17,13.612886597938145,2.7973825979853215,,,,17,17.9375,3.3571139570128343,,,,17,26.971770334928227,3.7251142013745917,,,,17,29.152427184466017,2.795674351502577,,,,17,32.18421052631579,2.562312329210684,,,,17,29.30337078651685,2.58081873480454,,,,17,27.84705882352941,1.3712618263992449,,,,17,27.200363636363637,3.3683284031407865,,,,17,22.769604863221883,4.45862302698428,,,,17,17.69627118644068,2.7166816113238905,,,,17,12.999484536082475,4.349291889547368,,,
18,11.082142857142856,2.597519912123399,,,,18,13.136082474226805,2.7831853577270134,,,,18,17.564651162790696,3.177384728911799,,,,18,26.477990430622008,3.672683826297426,,,,18,28.792270531400966,3.0127006781438017,,,,18,31.516826923076923,2.5584993214258795,,,,18,28.977735849056604,2.404052115020328,,,,18,27.565055762081784,1.330778797842264,,,,18,27.030960854092523,3.468167719846774,,,,18,22.558181818181822,4.619144256668311,,,,18,17.418620689655175,2.659711838342683,,,,18,12.95204081632653,4.439013716338826,,,
19,10.860357142857142,2.6707609698666905,,,,19,12.782051282051283,2.894669884625861,,,,19,17.187906976744184,3.307980876564852,,,,19,25.693719806763287,3.6472091346968836,,,,19,28.269082125603862,2.9729717444428196,,,,19,31.04641148325359,2.5780818957712617,,,,19,28.689925373134326,2.279043723349399,,,,19,27.37142857142857,1.3141622811921727,,,,19,26.775645756457568,3.501259268451484,,,,19,22.23434650455927,4.814018878695125,,,,19,17.241891891891893,2.692243952881341,,,,19,12.857000000000001,4.520901569377507,,,
20,10.52282608695652,2.658065518960657,,,,20,12.566326530612244,2.8751022653524694,,,,20,16.669124423963133,3.244337948866326,,,,20,24.951674641148323,3.54815263873049,,,,20,27.85512195121951,2.9491521079557095,,,,20,30.54047619047619,2.7392960099970005,,,,20,28.37740740740741,2.237651037886055,,,,20,27.134065934065934,1.287945217041309,,,,20,26.646402877697845,3.5633079181715335,,,,20,22.034029850746272,4.967401813345518,,,,20,16.935517241379312,2.8017877128065516,,,,20,12.761734693877548,4.493659370920048,,,
21,10.33898916967509,2.7486779999074327,,,,21,12.312244897959182,2.8733918414860975,,,,21,16.100930232558138,3.0498492634909393,,,,21,24.37129186602871,3.5542465679817985,,,,21,27.63121951219513,2.820932379267493,,,,21,30.052857142857146,2.7237258145645225,,,,21,28.14646840148699,2.16886479907336,,,,21,26.92389705882353,1.2277949344934682,,,,21,26.37826086956522,3.610837935800185,,,,21,21.950595238095236,5.0190470190091805,,,,21,16.7127147766323,2.9665274429626267,,,,21,12.722613065326634,4.640713556945553,,,
22,10.127472527472527,2.8907354578619775,,,,22,12.045918367346939,2.9040846802513878,,,,22,15.78479262672811,2.8774987663845684,,,,22,23.763636363636365,3.5327203530210225,,,,22,27.06618357487923,2.8231986561860296,,,,22,29.616666666666667,2.7170113716454694,,,,22,27.95166051660517,2.1319193860263246,,,,22,26.786397058823532,1.1672297349318157,,,,22,26.311743772241993,3.7008469000708075,,,,22,21.59135802469136,5.204068862310545,,,,22,16.50795847750865,2.9956783725511476,,,,22,12.568686868686871,4.775053999687184,,,
23,9.794074074074075,2.8268360264505894,,,,23,11.722051282051282,2.848044924997857,,,,23,15.499539170506912,2.807273267384995,,,,23,23.22200956937799,3.331133947756958,,,,23,27.01111111111111,2.910421425105356,,,,23,29.253110047846892,2.6848507112978286,,,,23,27.797047970479706,2.1512183438722547,,,,23,26.66985294117647,1.1211417403268484,,,,23,26.052014652014652,3.640322305871804,,,,23,21.373088685015297,5.266913393872827,,,,23,16.32033898305085,3.060773119406324,,,,23,12.498507462686566,4.926893177175404,,,
